"mbits","o=80%|c=10%","o=80%|c=5%","o=80%|c=1%","o=80%|c=0%","o=60%|c=10%","o=60%|c=5%","o=60%|c=1%","o=60%|c=0%","o=40%|c=10%","o=40%|c=5%","o=40%|c=1%","o=40%|c=0%","o=20%|c=10%","o=20%|c=5%","o=20%|c=1%","o=20%|c=0%"
"16","37067.00885321961","13540.951019587708","743.553359487915","116.33392242279054","12416.034760754394","3816.9564406433105","186.39447734527587","43.53533886871338","6314.510753341675","1715.65367204895","91.29888769836427","28.069485356140138","4197.395326434326","1104.7033177703856","62.47382197418212","20.67860783996582"
"17","74610.86551747666","27249.807758945466","1511.5462508041383","120.04077819213867","25027.430582730864","7787.3760115753175","356.97741841049196","45.28670043411255","12716.808723628234","3632.8859401130676","166.73278166351318","29.36652056121826","8415.837460305023","2264.900375201416","107.07596615753172","21.61424942626953"
"18","149347.5607910679","54729.4782738308","3172.689210051346","124.69242197341919","50284.37951532402","15716.03382802353","724.9037098323822","48.424078909683224","25494.64441792183","7323.821415269088","321.78536073074343","32.20044380378723","16838.06861718979","4593.135154899597","200.57840250282288","23.636262313461305"
"19","298683.9001844664","109663.41953292962","6383.103964404488","128.11889188575745","100425.93261805935","31471.573449131964","1490.3228123422623","49.29400953388215","51071.17932825756","14698.709349619103","633.4597398256302","33.17495873241425","33725.497066590884","9206.752435043145","388.7315776090622","23.601629961586"
"20","596743.7081763309","219179.5701427407","12792.049725554085","128.99055212860108","200905.1450141159","62963.37661944075","3109.7258031344413","51.24202495203018","102171.39041485635","29468.261722304633","1295.509980796814","33.125074520015716","67547.49333488922","18446.06832024431","774.0485468914986","25.02448718509674"
