"mbits","o=80%|c=10%","o=80%|c=5%","o=80%|c=1%","o=80%|c=0%","o=60%|c=10%","o=60%|c=5%","o=60%|c=1%","o=60%|c=0%","o=40%|c=10%","o=40%|c=5%","o=40%|c=1%","o=40%|c=0%","o=20%|c=10%","o=20%|c=5%","o=20%|c=1%","o=20%|c=0%"
"16","69.81689153289794","88.00051389312743","112.315835055542","121.57687622375488","42.54035194244385","45.43242391662598","48.985391891479495","49.353062713623046","29.58881510772705","31.696076838684082","33.81103401947021","34.10570171813965","22.025164012145996","23.917783563232422","25.1577755569458","25.131650866699218"
"17","70.55179167556763","88.29470879364013","112.42553802947998","121.34607840042115","42.610707808685305","46.75162359161377","50.5131745803833","52.86858493881225","31.7593399810791","33.728318067169184","35.74799958953857","36.319358312988285","23.78295852432251","25.756853366851807","27.014237715148926","27.5196271194458"
"18","74.38040299682618","92.29599083747863","117.27626352348327","126.04481944122315","45.8115024269104","50.53739554748535","55.099160274124145","55.44702747688293","33.88667733192444","36.01747881240845","38.3267871799469","39.126833974838256","25.857107572937014","27.83615979232788","29.058416168594363","30.290894121932986"
"19","76.97045058917999","96.54583545188903","120.31179815940857","129.71798426418303","47.278197692871096","52.37728154029846","56.6290458278656","57.73315379066467","35.443146373367306","38.091703014945985","40.11912849063874","40.49199506950379","26.980144161033632","29.394983328819272","30.902319225311278","31.338084157180788"
"20","79.88296199035645","98.37569626712799","122.86988789014815","131.6798098355293","49.94309384450913","54.658872283267975","58.40423994827271","60.47497787914276","37.155198988342285","40.14081140670776","42.01625822868347","43.54390908975601","28.300647158527376","31.13366426553726","32.16497331390381","33.0418967751503"
