"mbits","num_insertions_until_insertion_failure","mean_time_until_failure","mean_reconstructions"
"16","655680","3.8500325614E7","0"
"17","1311060","7.2971666963E7","0"
"18","2621800","1.45055539535E8","0"
"19","5243260","2.90166222412E8","0"
"20","10486160","5.8141038636E8","0"
