"mbits,""num_insertions_until_insertion_failure"",""mean_time_until_failure"""
"16,""32629"",""1.1155674734272E10"""
"17,""65467"",""4.5108284925737E10"""
"18,""132722"",""1.75898780400742E11"""
"19,""264013"",""7.51772862717176E11"""
"20,""537789"",""3.01180382970346E12"""
