"mbits","o=80%|c=10%","o=80%|c=5%","o=80%|c=1%","o=80%|c=0%","o=60%|c=10%","o=60%|c=5%","o=60%|c=1%","o=60%|c=0%","o=40%|c=10%","o=40%|c=5%","o=40%|c=1%","o=40%|c=0%","o=20%|c=10%","o=20%|c=5%","o=20%|c=1%","o=20%|c=0%"
"16","280.2477367919922","274.9061061279297","261.96274520721437","263.10625638275144","206.60006079559327","197.578508543396","180.69731570892333","170.58870442810058","162.44117555999756","157.29065788116455","154.41978654937742","153.75717692871095","150.46185241394045","146.6498188949585","145.09510844726563","145.5548580871582"
"17","300.7556831138611","301.35832189407347","278.80688183212277","277.95499671325683","228.73375250549316","218.37188825912477","208.4653647872925","206.83565117034914","209.4159283317566","195.99840907897948","191.85004108123778","190.35054797210694","194.18806500778197","185.61400781707763","181.6094372451782","181.03412771224976"
"18","283.89298032493593","285.6013358505249","261.6491305335999","259.6720914337158","206.1466276836395","200.3147007446289","189.33121772994997","188.71102966156008","187.2120739551544","176.83162162628173","172.59345689926147","172.91168825683593","173.82998482971192","166.24388633995056","161.47561936302185","160.85554556884765"
"19","316.51049490242","315.45878284568784","299.70319970188143","295.49991476364136","241.4551047948837","241.65367337245942","224.68350372447966","223.82018765430448","225.1507173412323","221.9955335391998","208.8866770959854","206.97714096431733","213.02789237117767","207.95329382095338","197.42996705760956","197.3304716709137"
"20","303.54744447345735","305.105320231247","296.82131617698667","284.1418728386879","228.1051909840584","227.54162573823928","213.94452024040226","212.2385004814148","210.81930877904892","209.66624554815294","194.2220545015335","191.5370796626091","198.76741992292403","193.9203869102478","182.9209625919342","180.9816964097023"
