"mbits","o=80%|c=10%","o=80%|c=5%","o=80%|c=1%","o=80%|c=0%","o=60%|c=10%","o=60%|c=5%","o=60%|c=1%","o=60%|c=0%","o=40%|c=10%","o=40%|c=5%","o=40%|c=1%","o=40%|c=0%","o=20%|c=10%","o=20%|c=5%","o=20%|c=1%","o=20%|c=0%"
"16","28872.10595696564","11414.409908055115","701.1497749572753","115.69513618469239","8001.470726800537","2728.574342590332","149.39460397644044","42.54007483215332","2466.9696674530032","798.6027378280639","61.077732365417475","28.104042892456057","514.5495436172484","217.03772735443118","30.350148800659177","19.876903515625"
"17","57747.28399430313","22917.439550618743","1426.5198581771851","119.10620564956665","16193.437618644713","5614.710254125213","281.3281449089051","44.975566180419925","5088.165770049286","1722.8150443573","98.20115970993042","29.53249674301147","1050.940912097931","440.31481797180174","42.044274092864995","20.87642376785278"
"18","116900.60403424874","46559.8525600666","2919.676045333481","122.83532019844056","32694.37874874916","11402.047012203217","578.6922192783356","47.43957002105713","10308.934212616728","3557.2653950271606","179.5305182243347","31.09982162780762","2095.0613649398806","903.6478285686493","65.85288450546264","22.768278704071044"
"19","230170.56954226986","93491.34684514313","5827.89582562542","126.13055553989412","66265.66547911262","23028.324195656776","1202.4398669534683","48.988971282958985","20697.47061272621","7174.546862151527","359.52477348518374","32.48462379341125","4206.233835796547","1823.3014556785583","111.59843338012695","23.61552426700592"
"20","464771.9475868812","185440.50834215916","11695.269579934597","128.13803745822906","132915.06019056408","46201.192799766824","2479.944518225956","50.16036590042114","41481.992435966684","14426.47737537756","738.3858885054589","33.89970308980942","8376.98671620493","3624.6297561184883","211.66673418521881","23.73024650592804"
